Year,Tipo de servicio cultural,Units,Value
2016,Biblioteca pública,Porcentaje,16.5
2017,Biblioteca pública,Porcentaje,
2018,Biblioteca pública,Porcentaje,
2019,Biblioteca pública,Porcentaje,13.8
2020,Biblioteca pública,Porcentaje,13.2
2016,Festival popular,Porcentaje,11.7
2017,Festival popular,Porcentaje,
2018,Festival popular,Porcentaje,
2019,Festival popular,Porcentaje,16.1
2020,Festival popular,Porcentaje,14.4
2016,Actividad cultural,Porcentaje,23.7
2017,Actividad cultural,Porcentaje,
2018,Actividad cultural,Porcentaje,
2019,Actividad cultural,Porcentaje,22.4
2020,Actividad cultural,Porcentaje,23.9
